Income,Gender,Age,Age Range,Political Affiliation,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,What is your race?,What is your marital status?,What would you say is the likelihood that your current job will be entirely performed by robots or computers within the next decade?,"Do you believe that climate change is real and caused by people, real but not caused by people, or not real at all?",How many Transformers movies have you seen?,Do you agree or disagree with the following statement: scientists are generally honest and are serving the public good.,Do you agree or disagree with the following statement: vaccines are safe and protect children from disease.,"How many books, if any, have you read in the past year?",Do you believe in ghosts?,What percentage of the federal budget would you estimate is spent on scientific research?,"Is federal funding of scientific research too high, too low, or about right?",True or false: the earth is always farther away from the sun in the winter than in the summer.,"If you had to choose: would you rather be smart and sad, or dumb and happy?",Do you think it is acceptable or unacceptable to urinate in the shower?,Belief in Flat Earth Theory
5000.0,Female,60,55-64,Democrat,Somewhat disapprove,Some college,Black,Single,Likely,Real and Caused by People,3.0,DK/REF,Somewhat Agree,2.0,No,35.0,DK/REF,FALSE,DK/REF,DK/REF,Uncertain
60000.0,Male,70,65+,Democrat,Strongly disapprove,College degree,Black,Single,Unlikely,Real but not Caused by People,5.0,Somewhat Agree,Strongly Agree,6.0,No,,About Right,TRUE,DK/REF,Unacceptable,Uncertain
39000.0,Male,19,18-24,Independent,Somewhat Approve,High school,White,In a relationship,Unlikely,Real and Caused by People,2.0,Somewhat Agree,Somewhat Agree,3.0,Yes,15.0,Too Low,TRUE,Dumb and happy,Acceptable,No
58000.0,Male,61,55-64,Independent,Somewhat Approve,College degree,Black,Separated,Likely,Real but not Caused by People,0.0,Somewhat Agree,Somewhat Agree,0.0,Yes,2.0,About Right,FALSE,DK/REF,Unacceptable,No
54000.0,Female,57,55-64,Democrat,Somewhat disapprove,High school,White,Married,Likely,Not Real At All,0.0,Somewhat Agree,Strongly Agree,0.0,No,10.0,About Right,TRUE,Smart and Sad,Unacceptable,No
73000.0,Male,36,35-44,DK/REF,Neither approve nor disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,12.0,No,10.0,About Right,FALSE,DK/REF,Unacceptable,No
26000.0,Female,63,55-64,Democrat,Somewhat disapprove,High school,White,Widowed,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,5.0,Yes,1.0,Too Low,TRUE,Smart and Sad,Unacceptable,No
48000.0,Female,63,55-64,Republican,DK/REF,College degree,White,Married,Unlikely,Not Real At All,0.0,Somewhat Agree,Strongly Agree,30.0,No,,DK/REF,TRUE,Dumb and happy,DK/REF,Uncertain
61000.0,Female,55,55-64,Independent,Strongly disapprove,High school,White,Separated,Unlikely,Real and Caused by People,0.0,Somewhat Agree,Strongly Agree,1.0,No,50.0,About Right,TRUE,Dumb and happy,Unacceptable,Uncertain
67000.0,Female,56,55-64,Republican,Somewhat Approve,College degree,White,Single,Unlikely,Real and Caused by People,0.0,Somewhat Agree,Somewhat Agree,1.0,Yes,5.0,Too Low,FALSE,Smart and Sad,Unacceptable,No
58000.0,Male,54,45-54,DK/REF,Somewhat Approve,DK/REF,White,DK/REF,DK/REF,Real and Caused by People,0.0,Somewhat Agree,Somewhat Agree,0.0,Yes,,DK/REF,FALSE,Dumb and happy,Unacceptable,No
,Female,50,45-54,Independent,Strongly disapprove,College degree,Other,Married,Unlikely,Real but not Caused by People,0.0,Somewhat Agree,Strongly Agree,30.0,Yes,75.0,Too High,TRUE,Dumb and happy,Unacceptable,No
,Male,65,65+,Independent,Somewhat disapprove,Graduate degree,White,Married,DK/REF,Real but not Caused by People,5.0,Somewhat Agree,Strongly Agree,10.0,No,5.0,Too Low,TRUE,Dumb and happy,Unacceptable,No
,Female,73,65+,Democrat,DK/REF,College degree,Black,Widowed,Likely,Real but not Caused by People,2.0,Strongly Agree,Somewhat Agree,200.0,Yes,5.0,Too Low,TRUE,Smart and Sad,Unacceptable,No
,Male,44,35-44,Independent,Strongly disapprove,Some college,Black,Married,Likely,Real but not Caused by People,3.0,Somewhat Agree,Strongly Agree,6.0,No,40.0,About Right,FALSE,Smart and Sad,Unacceptable,Uncertain
,Male,65,65+,Republican,Strongly Approve,Graduate degree,White,In a relationship,DK/REF,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,7.0,No,,Too Low,FALSE,Dumb and happy,DK/REF,No
,Female,25,25-34,Independent,DK/REF,Some college,White,Single,Unlikely,Real and Caused by People,4.0,Somewhat Disagree,Somewhat Disagree,124.0,Yes,,About Right,TRUE,Dumb and happy,Unacceptable,No
,Male,53,45-54,Republican,Strongly disapprove,College degree,Black,Separated,Unlikely,Real but not Caused by People,0.0,Somewhat Disagree,Somewhat Agree,1.0,No,30.0,Too High,TRUE,DK/REF,Unacceptable,No
,Male,30,25-34,Independent,Neither approve nor disapprove,College degree,Black,Married,Unlikely,Real and Caused by People,0.0,Somewhat Disagree,Strongly Disagree,15.0,No,35.0,About Right,TRUE,Smart and Sad,Unacceptable,Yes
,Male,73,65+,Independent,Strongly Approve,Some college,Black,Widowed,Unlikely,Not Real At All,0.0,Strongly Disagree,Strongly Agree,8.0,No,1.0,About Right,FALSE,Dumb and happy,Unacceptable,No
,Female,56,55-64,Democrat,Strongly disapprove,College degree,White,Married,Unlikely,Real and Caused by People,0.0,Strongly Agree,Strongly Agree,10.0,No,6.0,Too Low,TRUE,Smart and Sad,Acceptable,No
,Female,54,45-54,Independent,Strongly Approve,Graduate degree,DK/REF,Married,Unlikely,Real but not Caused by People,0.0,Somewhat Disagree,Strongly Agree,5.0,No,,Too High,TRUE,Dumb and happy,DK/REF,No
,Female,60,55-64,DK/REF,Somewhat disapprove,Other,White,Separated,Likely,Real but not Caused by People,2.0,Somewhat Agree,Somewhat Agree,0.0,Yes,,About Right,TRUE,Smart and Sad,Unacceptable,Uncertain
,Female,19,18-24,Independent,Somewhat disapprove,Some college,White,Single,Unlikely,Real and Caused by People,1.0,Strongly Agree,Somewhat Disagree,5.0,Yes,,Too Low,TRUE,Smart and Sad,Acceptable,Uncertain
